epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3906,2.5734,4.45184,1.90623,0.00271,0.13043,0.00803,0.0027,2.49643,4.36947,1.97214,6.668e-05,6.668e-05,6.668e-05
2,50.4546,2.48506,4.25898,1.86432,0.00714,0.33333,0.09624,0.03673,2.35701,4.26106,1.72842,0.000147059,0.000147059,0.000147059
3,74.1165,2.47412,3.53292,1.74473,0.00898,0.42029,0.06296,0.01988,2.35144,4.04768,1.60741,0.000224138,0.000224138,0.000224138
4,97.7169,2.18317,2.99957,1.56054,0.00859,0.4058,0.0572,0.02143,2.34212,4.06017,1.64089,0.000297916,0.000297916,0.000297916
5,121.771,2.26232,3.02718,1.6334,0.00837,0.37681,0.08119,0.03507,2.27686,4.00003,1.6566,0.000368394,0.000368394,0.000368394
6,146.747,2.23762,2.60631,1.59926,0.01182,0.52174,0.08156,0.03492,2.29545,4.03211,1.63677,0.00043557,0.00043557,0.00043557
7,170.753,2.16352,2.55346,1.58251,0.01463,0.53623,0.04262,0.01704,2.29367,4.04746,1.62879,0.000499447,0.000499447,0.000499447
8,194.638,2.07374,2.65194,1.52389,0.01238,0.43478,0.01894,0.00772,2.27491,4.16819,1.71243,0.000560022,0.000560022,0.000560022
9,218.662,2.14159,2.66382,1.59931,0.01096,0.37681,0.03548,0.01209,2.24282,4.17169,1.80683,0.000617297,0.000617297,0.000617297
10,243.988,2.11577,2.26626,1.57071,0.00865,0.31884,0.03374,0.01656,2.33098,4.18444,1.81808,0.000671271,0.000671271,0.000671271
11,269.078,2.12472,2.44225,1.50609,0.0105,0.4058,0.03166,0.01123,2.35916,4.14168,1.86009,0.000721944,0.000721944,0.000721944
12,298.435,2.03171,2.37899,1.48314,0.01028,0.43478,0.0315,0.00927,2.37984,4.02382,1.91646,0.000769317,0.000769317,0.000769317
13,326.878,2.02384,2.26427,1.49704,0.01247,0.55072,0.06333,0.01427,2.38584,3.93489,1.90627,0.000813389,0.000813389,0.000813389
14,353.189,2.01791,2.19425,1.43888,0.27187,0.05797,0.05403,0.02411,2.2716,3.89547,1.84085,0.000854161,0.000854161,0.000854161
15,378.242,1.96624,2.15705,1.42831,0.1621,0.30435,0.15517,0.05909,2.30496,3.63396,1.83271,0.000891632,0.000891632,0.000891632
16,402.608,2.03361,2.17936,1.53425,0.38944,0.15942,0.12537,0.04994,2.24954,3.63636,1.841,0.000925802,0.000925802,0.000925802
17,427.459,2.10697,2.15054,1.56626,0.60164,0.10973,0.14406,0.06174,2.28632,3.5705,1.89418,0.000956671,0.000956671,0.000956671
18,451.793,1.98652,2.15155,1.45253,0.63714,0.07669,0.17203,0.06422,2.2728,3.53649,1.82328,0.00098424,0.00098424,0.00098424
19,476.028,1.95229,2.16828,1.49023,0.68264,0.0939,0.18893,0.05415,2.29175,3.47636,1.86869,0.00100851,0.00100851,0.00100851
20,501.528,1.92768,2.25309,1.45816,1,0.11304,0.18681,0.05746,2.32036,3.63115,2.02147,0.00102948,0.00102948,0.00102948
21,526.372,1.97453,2.1207,1.46212,0.64662,0.10145,0.22131,0.08725,2.29183,3.38289,1.9032,0.00100687,0.00100687,0.00100687
22,552.491,1.97927,2.03673,1.44971,0.5305,0.26087,0.36222,0.13261,2.23201,2.82943,1.71594,0.000973861,0.000973861,0.000973861
23,577.217,1.89858,1.9437,1.44261,0.47365,0.44928,0.42353,0.13236,2.25641,2.56755,1.66736,0.000940855,0.000940855,0.000940855
24,602.149,1.94243,2.01674,1.46026,0.48507,0.44928,0.35882,0.10777,2.37222,2.48634,1.78981,0.000907848,0.000907848,0.000907848
25,626.605,1.88636,1.9188,1.43032,0.5378,0.42161,0.38361,0.11457,2.34672,2.46341,1.77236,0.000874842,0.000874842,0.000874842
26,650.954,1.78002,1.85944,1.34859,0.43916,0.34783,0.36532,0.10927,2.36461,2.53233,1.7679,0.000841835,0.000841835,0.000841835
27,677.831,1.88527,1.92099,1.37542,0.41466,0.34783,0.34274,0.10577,2.42325,2.52937,1.7511,0.000808828,0.000808828,0.000808828
28,703.367,1.84765,1.95996,1.40735,0.42912,0.46377,0.32789,0.11407,2.37951,2.33775,1.714,0.000775822,0.000775822,0.000775822
29,731.191,1.93433,1.88289,1.38703,0.46941,0.49275,0.36628,0.10485,2.33679,2.31931,1.71058,0.000742815,0.000742815,0.000742815
30,756.79,1.84729,1.77259,1.38702,0.42661,0.47449,0.3953,0.11212,2.31739,2.31143,1.72547,0.000709809,0.000709809,0.000709809
31,782.626,1.79178,1.79482,1.35511,0.38561,0.46377,0.41468,0.11611,2.25098,2.28228,1.69344,0.000676802,0.000676802,0.000676802
32,807.889,1.75971,1.81132,1.3463,0.51266,0.55072,0.47887,0.16677,2.27181,2.11104,1.65681,0.000643795,0.000643795,0.000643795
33,838.188,1.78275,1.64238,1.34848,0.58747,0.43478,0.46988,0.16849,2.29159,2.09587,1.65592,0.000610789,0.000610789,0.000610789
34,865.447,1.809,1.87116,1.36675,0.54628,0.4712,0.48074,0.1732,2.31639,2.18632,1.67011,0.000577782,0.000577782,0.000577782
35,890.729,1.82231,1.82816,1.33946,0.61636,0.50725,0.49445,0.17912,2.26002,2.2685,1.64771,0.000544776,0.000544776,0.000544776
36,915.769,1.78258,1.67956,1.34465,0.56326,0.5047,0.48729,0.17149,2.2773,2.34592,1.67495,0.000511769,0.000511769,0.000511769
37,941.356,1.76574,1.64357,1.30217,0.60719,0.51532,0.51342,0.18977,2.24185,2.20849,1.64768,0.000478762,0.000478762,0.000478762
38,966.338,1.67042,1.60699,1.26977,0.60082,0.53623,0.51594,0.19911,2.22207,2.08801,1.65416,0.000445756,0.000445756,0.000445756
39,991.226,1.74777,1.6283,1.33913,0.66477,0.52174,0.51806,0.20205,2.23266,2.03557,1.65674,0.000412749,0.000412749,0.000412749
40,1016.86,1.65565,1.50026,1.25626,0.6005,0.50725,0.52773,0.20579,2.30594,1.99614,1.66984,0.000379743,0.000379743,0.000379743
41,1042.61,1.61743,1.62655,1.23008,0.65625,0.49275,0.54293,0.20041,2.33723,1.99548,1.68191,0.000346736,0.000346736,0.000346736
42,1067.07,1.58363,1.60727,1.25751,0.62617,0.50725,0.5525,0.20347,2.33462,1.99282,1.65338,0.000313729,0.000313729,0.000313729
43,1091.41,1.69075,1.60002,1.28522,0.6384,0.5118,0.55669,0.20636,2.34291,1.99068,1.6535,0.000280723,0.000280723,0.000280723
44,1115.71,1.58083,1.55424,1.24109,0.70669,0.52381,0.5772,0.21173,2.3392,1.95231,1.67497,0.000247716,0.000247716,0.000247716
45,1140.01,1.62137,1.56499,1.28366,0.71655,0.51298,0.58587,0.20815,2.32469,1.92856,1.67768,0.00021471,0.00021471,0.00021471
46,1164.34,1.59783,1.57082,1.25283,0.74155,0.55072,0.60337,0.21005,2.3293,1.90952,1.68674,0.000181703,0.000181703,0.000181703
47,1188.83,1.61756,1.50256,1.25382,0.72915,0.55072,0.58359,0.2081,2.3234,1.89519,1.68104,0.000148696,0.000148696,0.000148696
