epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5239,3.06425,4.7602,2.20441,0.00116,0.05455,0.00182,0.00059,2.79212,4.71808,2.17866,5.001e-05,5.001e-05,5.001e-05
2,41.2643,2.84548,4.6515,2.01761,0.00202,0.09091,0.02621,0.00974,2.61967,4.60361,2.00352,0.000115535,0.000115535,0.000115535
3,58.6174,2.50252,4.14002,1.80045,0.00373,0.16364,0.03105,0.01113,2.4599,4.45757,1.92594,0.000179739,0.000179739,0.000179739
4,75.9672,2.53015,3.62648,1.82618,0.00515,0.21818,0.03043,0.00661,2.39571,4.30101,1.88614,0.000242624,0.000242624,0.000242624
5,92.6796,2.3632,2.99965,1.6807,0.00482,0.2,0.02143,0.00587,2.38783,4.18388,1.84062,0.000304187,0.000304187,0.000304187
6,109.503,2.4442,2.76187,1.62706,0.00631,0.25455,0.02052,0.00757,2.37258,4.17607,1.76927,0.000364431,0.000364431,0.000364431
7,126.183,2.30362,2.86807,1.52314,0.00143,0.05455,0.041,0.0095,2.35519,4.1461,1.74821,0.000423355,0.000423355,0.000423355
8,143.63,2.3225,2.84414,1.57026,0.0015,0.05455,0.00561,0.00098,2.23329,4.23636,1.76757,0.000480958,0.000480958,0.000480958
9,160.669,2.24661,2.68138,1.55419,0.00398,0.14545,0.01256,0.00162,2.19585,4.19836,1.71406,0.000537241,0.000537241,0.000537241
10,177.366,2.13525,2.61685,1.50548,0.00252,0.09091,0.01156,0.00401,2.28699,4.20696,1.75376,0.000592203,0.000592203,0.000592203
11,193.983,2.04704,2.52242,1.43362,0.00236,0.09091,0.02372,0.00447,2.33047,4.33335,1.85403,0.000645846,0.000645846,0.000645846
12,210.624,2.10047,2.45752,1.52001,0.00353,0.14545,0.00052,0.00015,2.52825,4.34776,2.11585,0.000698168,0.000698168,0.000698168
13,227.179,2.07608,2.37969,1.54246,0.00466,0.2,0.00091,0.00025,2.39695,4.13334,1.86558,0.00074917,0.00074917,0.00074917
14,243.688,2.1141,2.3353,1.50922,0.00424,0.18182,0.00079,0.00018,2.39321,4.13485,1.81455,0.000798851,0.000798851,0.000798851
15,260.223,2.10663,2.55281,1.51551,0.00418,0.18182,0.00572,0.00168,2.39649,4.15484,1.83495,0.000847213,0.000847213,0.000847213
16,276.741,2.08033,2.37439,1.48676,0.00851,0.36364,0.01799,0.00967,2.3062,4.18002,1.84208,0.000894254,0.000894254,0.000894254
17,293.291,2.02565,2.21763,1.50426,0.00735,0.30909,0.02938,0.01429,2.29172,4.10757,1.90317,0.000939975,0.000939975,0.000939975
18,310.068,2.08652,2.33737,1.45731,0.0054,0.25455,0.05387,0.02548,2.30183,4.01766,1.91392,0.000984375,0.000984375,0.000984375
19,328.138,1.98747,2.19256,1.45383,0.00566,0.21818,0.06628,0.02541,2.41912,3.9972,1.97088,0.00102746,0.00102746,0.00102746
20,344.848,1.99972,2.17449,1.50434,0.13821,0.02667,0.06819,0.02271,2.38161,3.75226,1.83962,0.00106922,0.00106922,0.00106922
21,361.487,1.97609,2.05986,1.41303,0.10971,0.53996,0.12487,0.04159,2.28178,3.2385,1.74035,0.00110966,0.00110966,0.00110966
22,378.112,2.01384,1.97206,1.50803,0.11727,0.10909,0.09159,0.02486,2.35078,3.28932,1.8977,0.00114877,0.00114877,0.00114877
23,394.679,2.0188,2.30558,1.47209,0.4638,0.09461,0.16519,0.04745,2.31059,3.35673,1.90077,0.00118657,0.00118657,0.00118657
24,411.246,1.86182,2.07926,1.49174,0.40475,0.07431,0.25643,0.07698,2.35588,3.20919,1.84705,0.00122305,0.00122305,0.00122305
25,427.758,1.92569,2.06481,1.45582,0.4312,0.23437,0.29652,0.09438,2.38416,2.89183,1.85477,0.00125821,0.00125821,0.00125821
26,444.282,2.01529,2.2632,1.49685,0.55278,0.21818,0.37555,0.13031,2.38601,2.81599,1.90327,0.00125442,0.00125442,0.00125442
27,460.792,2.0006,2.29821,1.55164,0.6114,0.10909,0.38379,0.1194,2.37164,3.09582,1.86267,0.00123791,0.00123791,0.00123791
28,477.27,1.93572,2.0792,1.48333,0.66225,0.30909,0.4152,0.13466,2.3542,2.83349,1.79655,0.00122141,0.00122141,0.00122141
29,494.045,1.86889,1.93983,1.41365,0.51567,0.36364,0.38271,0.11966,2.3894,2.62027,1.80956,0.00120491,0.00120491,0.00120491
30,511.399,2.03539,2.46559,1.52292,0.46762,0.27153,0.32504,0.12318,2.40498,2.77661,1.8518,0.0011884,0.0011884,0.0011884
31,527.998,1.99526,1.86319,1.41377,0.42362,0.2,0.30886,0.125,2.44213,2.85181,1.91589,0.0011719,0.0011719,0.0011719
32,544.769,1.90946,1.99198,1.44968,0.46558,0.23764,0.3096,0.12255,2.46889,2.85149,1.9084,0.0011554,0.0011554,0.0011554
33,562.108,1.94229,2.03057,1.44226,0.5356,0.29091,0.31112,0.10711,2.49843,2.77727,1.91371,0.00113889,0.00113889,0.00113889
34,579.095,1.82936,2.06469,1.37982,0.58196,0.30909,0.31435,0.07551,2.63654,2.71336,2.00981,0.00112239,0.00112239,0.00112239
35,604.252,1.87205,1.99372,1.43043,0.46864,0.33687,0.30921,0.07672,2.55126,2.73333,1.95626,0.00110589,0.00110589,0.00110589
36,621.605,1.93431,1.84421,1.42228,0.41016,0.30909,0.29123,0.08396,2.45417,2.74905,1.85276,0.00108938,0.00108938,0.00108938
37,638.757,1.95814,1.88793,1.48036,0.46455,0.34545,0.30386,0.07801,2.43487,2.74296,1.86189,0.00107288,0.00107288,0.00107288
38,655.448,1.78561,1.74728,1.3625,0.43636,0.32382,0.27605,0.07587,2.48118,2.72863,1.90013,0.00105638,0.00105638,0.00105638
39,671.985,1.70612,1.84606,1.3409,0.34703,0.18182,0.22195,0.06898,2.42902,2.88588,1.91196,0.00103987,0.00103987,0.00103987
40,690.316,1.85754,1.7621,1.43091,0.49029,0.2,0.23653,0.07453,2.35483,3.0914,1.93293,0.00102337,0.00102337,0.00102337
41,708.265,1.69275,1.68793,1.3371,0.48698,0.21818,0.2416,0.08207,2.36554,3.04634,1.91168,0.00100687,0.00100687,0.00100687
42,726.705,1.796,1.6541,1.3419,0.45488,0.27273,0.23944,0.07428,2.39173,2.85558,1.84955,0.000990365,0.000990365,0.000990365
43,744.257,1.79832,1.60226,1.31665,0.4245,0.29091,0.24656,0.07144,2.42449,2.73269,1.85075,0.000973861,0.000973861,0.000973861
44,761.571,1.69611,1.67504,1.2992,0.40984,0.30909,0.27467,0.0803,2.37538,2.76025,1.81163,0.000957358,0.000957358,0.000957358
45,778.886,1.65407,1.62394,1.24355,0.43473,0.34545,0.27542,0.09351,2.38539,2.70294,1.80217,0.000940855,0.000940855,0.000940855
46,796.417,1.73671,1.61511,1.32709,0.45001,0.34545,0.30673,0.10267,2.43037,2.46405,1.83146,0.000924352,0.000924352,0.000924352
47,813.61,1.76534,1.58831,1.33741,0.46963,0.36364,0.35386,0.1044,2.397,2.32842,1.80712,0.000907848,0.000907848,0.000907848
48,830.859,1.69712,1.53537,1.29695,0.51376,0.34545,0.39076,0.11416,2.44319,2.23105,1.81116,0.000891345,0.000891345,0.000891345
49,848.156,1.73949,1.53035,1.31418,0.49806,0.41818,0.40542,0.11234,2.53808,2.2739,1.81218,0.000874842,0.000874842,0.000874842
50,866.326,1.73049,1.61362,1.30133,0.43235,0.44322,0.35071,0.09814,2.56049,2.31574,1.81411,0.000858338,0.000858338,0.000858338
51,884.132,1.68165,1.56728,1.26664,0.44108,0.41818,0.33231,0.09975,2.53495,2.34493,1.80558,0.000841835,0.000841835,0.000841835
52,901.683,1.55096,1.53396,1.23575,0.42062,0.43636,0.37891,0.10326,2.50512,2.34688,1.78064,0.000825332,0.000825332,0.000825332
53,918.89,1.65515,1.45049,1.27584,0.41479,0.41818,0.37062,0.10806,2.50231,2.2702,1.79795,0.000808828,0.000808828,0.000808828
54,936.222,1.53123,1.44642,1.24183,0.37856,0.43636,0.32511,0.10032,2.51233,2.21405,1.81923,0.000792325,0.000792325,0.000792325
55,953.696,1.72235,1.51657,1.34321,0.44525,0.4,0.31652,0.09974,2.52411,2.12526,1.8634,0.000775822,0.000775822,0.000775822
56,971.064,1.65246,1.41237,1.28083,0.40478,0.43281,0.32989,0.10751,2.55059,2.15057,1.86206,0.000759318,0.000759318,0.000759318
57,988.465,1.52342,1.4107,1.27566,0.38427,0.38182,0.3255,0.1095,2.54213,2.17362,1.85424,0.000742815,0.000742815,0.000742815
